,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location
2359,Blue,Mazda,ATENZA,2005,Stationwagon,5/03/2022,Central
2360,Silver,BMW,320I,2005,Saloon,13/03/2022,Counties/Manukau
2361,Red,Nissan,NAVARA,2011,Cab and Chassis Only,9/12/2021,Southern
2362,White,Nissan,TIIDA,2006,Saloon,12/02/2022,Auckland City
2363,Grey,Honda,ACCORD,2002,Saloon,26/02/2022,Auckland City
2364,Blue,Volkswagen,GOLF,2003,Hatchback,25/02/2022,Waitemata
2365,Gold,Toyota,HILUX,2011,Utility,10/12/2021,Eastern
2366,Silver,BMW,318I,2000,Saloon,3/01/2022,Counties/Manukau
2367,Silver,Nissan,NAVARA,2011,Cab and Chassis Only,8/01/2022,Waitemata
2368,White,Subaru,LEGACY,2002,Stationwagon,30/12/2021,Northland
2369,Red,Ford,RANGER,2011,Utility,5/12/2021,Central
2370,Silver,Toyota,ALTEZZA,2000,Saloon,24/03/2022,Waitemata
2371,Silver,Toyota,YARIS,2011,Hatchback,21/01/2022,Canterbury
2372,Gold,Toyota,FUNCARGO,2000,Hatchback,5/03/2022,Waitemata
2373,Blue,Honda,CIVIC,2000,Hatchback,17/01/2022,Waitemata
2374,Red,Toyota,YARIS,2011,Hatchback,19/11/2021,Waitemata
2375,Silver,Toyota,MARKX,2004,Saloon,4/04/2022,Auckland City
2376,Silver,Toyota,FIELDER,2002,Stationwagon,11/02/2022,Counties/Manukau
2377,Grey,Mazda,ATENZA,2006,Stationwagon,28/02/2022,Wellington
2378,Silver,Subaru,IMPREZA,2006,Stationwagon,6/01/2022,Northland
2379,Black,Audi,A3,2005,Stationwagon,7/11/2021,Northland
2380,Grey,Ford,COURIER,2004,Utility,13/01/2022,Waikato
2381,Silver,Mazda,DEMIO,2004,Hatchback,17/02/2022,Central
2382,Brown,Holden,VT COMMODORE,1999,Saloon,19/10/2021,Canterbury
2383,Red,Ducati,STREETFIGHTER,2021,Roadbike,25/01/2022,Auckland City
2384,Black,Mitsubishi,AIRTREK,2002,Stationwagon,24/02/2022,Central
2385,Yellow,Nissan,MARCH,2002,Hatchback,2/12/2021,Wellington
2386,White,Mazda,FAMILIA,2001,Hatchback,29/10/2021,Counties/Manukau
2387,Silver,Toyota,ALLION,2006,Saloon,27/03/2022,Southern
2388,Grey,Ford,MONDEO,2012,Hatchback,7/02/2022,Central
2389,Green,Toyota,DUET,2001,Hatchback,2/01/2022,Wellington
2390,White,Nissan,TIIDA,2006,Saloon,14/02/2022,Waikato
2391,Red,Toyota,IST,2002,Hatchback,21/03/2022,Waitemata
2392,Black,Holden,COMMODORE,2006,Stationwagon,13/03/2022,Counties/Manukau
2393,Brown,Isuzu,D-MAX,2012,Utility,15/03/2022,Waikato
2395,White,Holden,COLORADO,2009,Utility,17/01/2022,Waikato
2396,White,Mercedes-Benz,C,2011,Saloon,12/10/2021,Auckland City
2397,White,Suzuki,SK410,1989,Light Van,13/03/2022,Auckland City
2398,Silver,Toyota,IPSUM,2003,Stationwagon,18/01/2022,Wellington
2399,Orange,Mazda,DEMIO,2002,Hatchback,17/02/2022,Auckland City
2400,Black,Toyota,HILUX,1997,Stationwagon,19/03/2022,Canterbury
2401,Grey,BMW,Z4,2003,Convertible,9/11/2021,Waitemata
2402,Silver,Mazda,DEMIO,2004,Hatchback,24/02/2022,Waikato
2403,Black,Ford,MONDEO,2012,Hatchback,3/04/2022,Waitemata
2404,Blue,Subaru,LEGACY,2003,Saloon,17/12/2021,Wellington
2405,Grey,Mazda,PREMACY,2003,Stationwagon,3/04/2022,Auckland City
2406,Black,Subaru,IMPREZA,1998,Hatchback,17/03/2022,Wellington
2407,Silver,Subaru,LEGACY,2002,Stationwagon,28/12/2021,Wellington
2408,Black,Subaru,LEGACY,2009,Stationwagon,3/04/2022,Northland
2409,Red,Nissan,CUBE,2000,Hatchback,29/12/2021,Counties/Manukau
2410,Blue,Hyundai,I30,2012,Stationwagon,22/12/2021,Canterbury
2411,Red,Mitsubishi,OUTLANDER,2012,Stationwagon,18/02/2022,Waitemata
2412,Red,BMW,318TI,2002,Hatchback,23/10/2021,Southern
2413,White,Mazda,AXELA,2005,Saloon,1/11/2021,Waitemata
2414,White,Holden,CAPTIVA,2012,Stationwagon,4/02/2022,Waitemata
2415,Green,Mitsubishi,L200,2001,Utility,3/04/2022,Counties/Manukau
2416,White,Mitsubishi,L300,2012,Light Van,5/11/2021,Wellington
2417,Purple,Honda,STREAM,2001,Stationwagon,12/12/2021,Northland
2418,Silver,Mazda,DEMIO,2006,Hatchback,3/12/2021,Wellington
2419,White,Subaru,FORESTER,2012,Stationwagon,12/12/2021,Bay of Plenty
2420,Blue,Peugeot,308,2012,Stationwagon,5/12/2021,Southern
2421,Blue,Mazda,DEMIO,2004,Hatchback,4/04/2022,Counties/Manukau
2422,Silver,Honda,CIVIC,2002,Hatchback,4/12/2021,Waitemata
2423,Silver,Suzuki,SWIFT,2006,Hatchback,26/01/2022,Northland
2424,Silver,Nissan,EXPERT,2006,Stationwagon,4/04/2022,Auckland City
2425,Black,Honda,TORNEO,2000,Saloon,7/03/2022,Counties/Manukau
2426,White,Toyota,HILUX,2012,Utility,28/03/2022,Central
2427,Silver,BMW,318CI,2002,Saloon,29/11/2021,Counties/Manukau
2428,Grey,Nissan,SKYLINE,2004,Saloon,1/04/2022,Canterbury
2429,Silver,Subaru,FORESTER,2005,Stationwagon,27/01/2022,Wellington
2430,Gold,Toyota,VITZ,1999,Hatchback,17/12/2021,Eastern
2431,Blue,Nissan,LAFESTA,2005,Stationwagon,29/12/2021,Eastern
2432,Purple,Honda,CRV,1996,Stationwagon,2/04/2022,Central
2433,Blue,Mazda,RX-8,2003,Saloon,25/10/2021,Counties/Manukau
2434,Blue,Holden,VX COMMODORE,2001,Saloon,9/10/2021,Waikato
2435,Silver,Nissan,TIIDA,2006,Hatchback,5/04/2022,Waikato
2436,Silver,Mazda,ATENZA,2003,Stationwagon,11/02/2022,Auckland City
2437,Silver,Mazda,DEMIO,2005,Hatchback,19/03/2022,Waikato
2438,Blue,Mazda,DEMIO,2004,Hatchback,16/01/2022,Waikato
2439,Red,Mazda,BOUNTY,2002,Utility,31/03/2022,Auckland City
2440,White,Ford,RANGER,2012,Utility,13/02/2022,Bay of Plenty
2441,Silver,Toyota,ESTIMA,1999,Stationwagon,21/03/2022,Auckland City
2442,Grey,Holden,CRUZE,2012,Saloon,27/02/2022,Counties/Manukau
2443,Green,Ford,COURIER,2002,Utility,11/03/2022,Southern
2444,Black,Mazda,ATENZA,2006,Stationwagon,6/12/2021,Wellington
2445,Red,Holden,COMMODORE,2003,Saloon,19/12/2021,Counties/Manukau
2446,White,Mazda,ATENZA,2002,Stationwagon,23/03/2022,Counties/Manukau
2447,Yellow,Suzuki,SWIFT,2006,Hatchback,17/12/2021,Wellington
2448,White,Mazda,BONGO,2006,Utility,30/10/2021,Auckland City
2449,Black,Volkswagen,GOLF,2003,Hatchback,17/01/2022,Tasman
2450,Silver,Nissan,NAVARA,2012,Utility,22/02/2022,Canterbury
2451,Red,Mazda,ATENZA,2002,Stationwagon,16/12/2021,Wellington
2452,Black,Subaru,LEGACY,2000,Stationwagon,26/11/2021,Bay of Plenty
2453,Black,Subaru,LEGACY,2009,Saloon,25/03/2022,Tasman
2454,White,Toyota,HIACE,2012,Light Van,22/11/2021,Auckland City
2455,Green,Ford,EXPLORER,2002,Stationwagon,7/03/2022,Bay of Plenty
2456,Silver,Holden,COLORADO,2012,Utility,8/01/2022,Central
2457,White,Nissan,ELGRAND,2001,Stationwagon,14/03/2022,Tasman
2458,Black,Ford,FOCUS,2012,Hatchback,1/04/2022,Waitemata
2459,Grey,Audi,RS5,2011,Sports Car,16/01/2022,Waitemata
2460,Silver,Nissan,TIIDA,2005,Hatchback,30/11/2021,Wellington
2461,White,Mazda,AXELA,2005,Saloon,25/03/2022,Eastern
2462,Silver,Mitsubishi,TRITON,2012,Utility,11/01/2022,Southern
2463,Silver,Holden,VX COMMODORE,2001,Saloon,23/02/2022,Waikato
2464,Blue,Toyota,COROLLA,2005,Hatchback,7/01/2022,Tasman
2465,White,Toyota,HILUX,2001,Utility,25/01/2022,Wellington
2466,Silver,Mazda,DEMIO,2005,Hatchback,18/03/2022,Wellington
2467,Blue,Nissan,TIIDA,2004,Saloon,5/04/2022,Counties/Manukau
2468,Grey,Ford,FALCON UTE,2006,Utility,11/02/2022,Bay of Plenty
2469,Gold,Toyota,CAMRY,2004,Saloon,9/12/2021,Auckland City
2470,White,Mazda,BOUNTY,2002,Utility,17/03/2022,Wellington
2471,White,Mazda,ATENZA,2003,Saloon,4/11/2021,Wellington
2472,Silver,Ford,FALCON,2002,Saloon,12/02/2022,Canterbury
2473,White,Toyota,LANDCRUISER,1988,Stationwagon,2/04/2022,Canterbury
2474,Grey,Ford,RANGER,2012,Utility,17/01/2022,Auckland City
2475,Silver,Holden,CRUZE,2012,Saloon,7/03/2022,Auckland City
2476,Red,Ford,RANGER,2008,Utility,6/03/2022,Canterbury
2477,White,Mitsubishi,L200,2008,Flat Deck Truck,22/02/2022,Waitemata
2478,Blue,Nissan,TIIDA,2005,Saloon,5/04/2022,Counties/Manukau
2479,White,Toyota,HIACE,2000,Light Van,14/10/2021,Auckland City
2480,Blue,Mitsubishi,GALANT,1999,Saloon,1/01/2022,Central
2481,White,Nissan,TIIDA,2007,Saloon,30/11/2021,Auckland City
2482,Gold,Toyota,HIACE,1994,Stationwagon,31/03/2022,Wellington
2483,Orange,Suzuki,SWIFT,2006,Hatchback,3/02/2022,Bay of Plenty
2484,Silver,Mazda,ATENZA,2002,Hatchback,11/11/2021,Canterbury
2485,White,Ford,TERRITORY,2012,Stationwagon,12/10/2021,Counties/Manukau
2486,Green,Ford,COURIER,2001,Utility,4/03/2022,Bay of Plenty
2487,White,Volvo,C70,2003,Convertible,14/10/2021,Waitemata
2488,Orange,Suzuki,SWIFT,2012,Hatchback,22/03/2022,Counties/Manukau
2489,Black,Subaru,LEGACY,2005,Stationwagon,27/03/2022,Wellington
2490,Green,Holden,COMMODORE,2012,Stationwagon,18/03/2022,Central
2491,Silver,Nissan,TIIDA,2005,Hatchback,29/03/2022,Canterbury
2492,White,Mitsubishi,OUTLANDER,2012,Stationwagon,7/11/2021,Canterbury
2493,White,Subaru,LEGACY,2009,Stationwagon,28/10/2021,Canterbury
2494,Silver,Suzuki,SWIFT,2012,Hatchback,22/03/2022,Counties/Manukau
2495,Black,Mitsubishi,OUTLANDER,2005,Stationwagon,20/03/2022,Waitemata
2496,Green,Nissan,BLUEBIRD,2005,Saloon,7/01/2022,Central
2497,Grey,Nissan,CUBE,2004,Hatchback,5/04/2022,Waikato
2498,White,Toyota,HILUX,1999,Stationwagon,30/12/2021,Bay of Plenty
2499,White,Toyota,HILUX,2012,Utility,30/01/2022,Northland
2500,Silver,Toyota,MARKX,2005,Saloon,17/12/2021,Canterbury
2501,Silver,Mitsubishi,OUTLANDER,2007,Stationwagon,12/12/2021,Central
2502,Black,Jeep,COMPASS,2018,Stationwagon,21/03/2022,Counties/Manukau
2503,Green,Honda,CIVIC,1997,Hatchback,11/12/2021,Wellington
2504,Blue,Honda,EDIX,2005,Stationwagon,15/10/2021,Waitemata
2505,Silver,Mazda,ATENZA,2007,Stationwagon,4/04/2022,Wellington
2506,Blue,BMW,520I,2001,Saloon,25/02/2022,Auckland City
2507,Grey,Mitsubishi,OUTLANDER,2005,Stationwagon,2/12/2021,Canterbury
2508,White,Toyota,IPSUM,2005,Stationwagon,23/03/2022,Waitemata
2509,Silver,Subaru,IMPREZA,2003,Stationwagon,3/04/2022,Waikato
2510,Red,Toyota,CALDINA,1996,Stationwagon,25/03/2022,Southern
2511,Black,Toyota,HILUX,2012,Utility,6/11/2021,Canterbury
2512,Silver,Mazda,DEMIO,2005,Hatchback,9/02/2022,Waikato
2513,Silver,Nissan,TIIDA,2005,Hatchback,4/04/2022,Northland
2514,Silver,Mitsubishi,MIRAGE,1996,Saloon,1/01/2022,Auckland City
2515,Silver,Holden,BARINA SPARK,2012,Hatchback,1/03/2022,Waitemata
2516,Black,Peugeot,407,2009,Saloon,5/12/2021,Bay of Plenty
2517,Black,Chery,J1,2012,Hatchback,30/01/2022,Counties/Manukau
2518,Red,Ford,FALCON,2012,Saloon,11/12/2021,Eastern
2519,Blue,Volkswagen,GOLF,2007,Stationwagon,4/03/2022,Central
2520,White,Honda,ODYSSEY,2005,Stationwagon,27/03/2022,Counties/Manukau
2521,Silver,Nissan,NAVARA,2012,Utility,11/11/2021,Northland
2522,Blue,Mazda,DEMIO,2005,Hatchback,4/04/2022,Counties/Manukau
2523,Silver,Toyota,COROLLA,2012,Hatchback,31/03/2022,Bay of Plenty
2524,Silver,Suzuki,SWIFT,2005,Hatchback,14/01/2022,Central
2525,Green,Holden,COMMODORE,2007,Saloon,23/12/2021,Tasman
2526,Blue,Toyota,YARIS,2013,Hatchback,7/02/2022,Waikato
2527,Orange,Toyota,CALDINA,2003,Hatchback,30/03/2022,Counties/Manukau
2528,Silver,Subaru,LEGACY,2006,Stationwagon,24/03/2022,Counties/Manukau
2529,Green,Mazda,626,2001,Hatchback,13/01/2022,Waitemata
2530,Black,Honda,ACCORD,2005,Saloon,28/03/2022,Auckland City
2531,Silver,Nissan,TIIDA,2005,Hatchback,8/02/2022,Waitemata
2532,Silver,Mazda,ATENZA,2007,Stationwagon,8/01/2022,Waikato
2533,Silver,Mercedes-Benz,CLS,2008,Saloon,12/12/2021,Bay of Plenty
2534,Red,Nissan,BLUEBIRD,2007,Saloon,21/11/2021,Counties/Manukau
2535,Red,Honda,FIT,2004,Hatchback,12/03/2022,Waikato
2536,Blue,Subaru,LEGACY,2004,Saloon,17/12/2021,Counties/Manukau
2537,White,Suzuki,SWIFT,2006,Hatchback,22/12/2021,Waikato
2538,Green,Mitsubishi,L200,1997,Utility,12/10/2021,Bay of Plenty
2539,Silver,Mazda,DEMIO,2005,Hatchback,28/02/2022,Auckland City
2540,Silver,Toyota,LANDCRUISER,2000,Stationwagon,1/12/2021,Waitemata
2541,Black,Honda,ACCORD,2001,Saloon,6/11/2021,Counties/Manukau
2542,Black,Mazda,ATENZA,2006,Stationwagon,30/01/2022,Counties/Manukau
2543,White,Mazda,DEMIO,2005,Hatchback,6/04/2022,Counties/Manukau
2544,White,Toyota,HILUX,2013,Utility,24/11/2021,Central
2545,Silver,Ford,RANGER,2013,Utility,23/11/2021,Bay of Plenty
2546,White,Toyota,LAND CRUISER PRADO,1998,Stationwagon,15/02/2022,Waitemata
2547,Black,Nissan,NAVARA,2013,Utility,6/02/2022,Waikato
2548,Silver,Nissan,TEANA,2005,Saloon,30/03/2022,Auckland City
2549,Silver,Nissan,NAVARA,2013,Cab and Chassis Only,1/01/2022,Waikato
2550,Silver,Toyota,COROLLA,2013,Hatchback,13/12/2021,Northland
2551,Blue,Toyota,AVENSIS,2004,Saloon,14/02/2022,Counties/Manukau
2552,Silver,Mercedes-Benz,CLS,2006,Saloon,17/11/2021,Auckland City
2553,Silver,Mazda,FAMILIA,1999,Stationwagon,13/01/2022,Central
2554,Black,Nissan,TIIDA,2005,Hatchback,2/04/2022,Counties/Manukau
2555,Black,Audi,S4,2004,Stationwagon,24/02/2022,Canterbury
2556,Black,Holden,COMMODORE,2010,Stationwagon,10/11/2021,Central
2557,Black,Suzuki,SWIFT,2009,Hatchback,10/10/2021,Northland
2558,White,Mercedes-Benz,E,2016,Sports Car,4/03/2022,Canterbury
2559,Grey,Mazda,AXELA,2004,Stationwagon,7/11/2021,Bay of Plenty
2560,Blue,Nissan,NAVARA,1991,Utility,8/01/2022,Central
2561,White,Volkswagen,PASSAT,2006,Saloon,26/03/2022,Auckland City
2562,Black,Mazda,AXELA,2008,Stationwagon,16/03/2022,Bay of Plenty
2563,White,Holden,CAPTIVA,2013,Stationwagon,26/02/2022,Waitemata
2564,Black,BMW,320I,2007,Saloon,11/10/2021,Counties/Manukau
2565,Green,Mazda,ROADSTER,1998,Sports Car,18/10/2021,Eastern
2566,Black,Mitsubishi,OUTLANDER,2014,Stationwagon,16/10/2021,Central
2567,Silver,Toyota,IPSUM,2004,Stationwagon,15/12/2021,Waitemata
2568,Red,Toyota,VITZ,2004,Hatchback,2/04/2022,Counties/Manukau
2569,Black,Honda,ACCORD,2007,Saloon,19/11/2021,Wellington
2570,Silver,Mazda,DEMIO,2006,Hatchback,4/04/2022,Tasman
2571,Red,Honda,ACCORD,1998,Saloon,7/10/2021,Northland
2572,White,BMW,760I,2003,Saloon,27/12/2021,Bay of Plenty
2573,Silver,Toyota,HIACE,2006,Light Van,14/03/2022,Auckland City
2574,Red,Holden,CAPTIVA,2013,Stationwagon,6/03/2022,Auckland City
2575,Purple,Mazda,ATENZA,2006,Stationwagon,6/02/2022,Eastern
2576,Gold,Mitsubishi,LANCER,1979,Saloon,3/11/2021,Auckland City
2577,Blue,Ford,FALCON,2013,Saloon,11/03/2022,Northland
2578,Grey,Chevrolet,CRUZE,2008,Hatchback,4/04/2022,Auckland City
2579,Silver,Nissan,BLUEBIRD,2006,Saloon,14/03/2022,Eastern
2580,White,Mitsubishi,TRITON,2001,Utility,14/02/2022,Central
2581,Grey,Mitsubishi,TRITON,2013,Utility,2/12/2021,Northland
2582,Grey,Mitsubishi,TRITON,2013,Utility,3/12/2021,Northland
2583,Red,Mazda,MAZDA6,2013,Stationwagon,8/01/2022,Canterbury
2584,Silver,Nissan,WINGROAD,2006,Stationwagon,28/03/2022,Auckland City
2585,Orange,Mazda,DEMIO,2004,Hatchback,5/04/2022,Central
2586,White,Toyota,ESTIMA,2004,Stationwagon,12/03/2022,Waikato
2587,Red,Honda,CIVIC,2006,Saloon,17/02/2022,Wellington
2588,Green,Honda,FIT,2004,Hatchback,6/03/2022,Auckland City
2589,Blue,Toyota,HILUX,1990,Stationwagon,14/11/2021,Auckland City
2590,Silver,Toyota,ISIS,2005,Stationwagon,3/02/2022,Canterbury
2591,Silver,Mazda,DEMIO,2006,Hatchback,23/01/2022,Northland
2592,White,Toyota,COROLLA,2013,Hatchback,31/03/2022,Counties/Manukau
2593,Black,Holden,COMMODORE,2003,Saloon,1/04/2022,Waikato
2594,Red,BMW,120I,2005,Hatchback,19/02/2022,Canterbury
2595,White,Toyota,PRIUS,2010,Saloon,27/03/2022,Counties/Manukau
2596,Blue,Nissan,TIIDA,2005,Hatchback,15/01/2022,Counties/Manukau
2597,Silver,Nissan,TIIDA,2005,Hatchback,3/04/2022,Auckland City
2598,White,Mazda,DEMIO,2006,Hatchback,31/01/2022,Wellington
2599,White,Volkswagen,GOLF,2008,Hatchback,20/10/2021,Bay of Plenty
2600,Silver,Kea,K85SAT,2006,Trailer,18/01/2022,Counties/Manukau
2601,Green,Toyota,HILUX,1993,Stationwagon,26/11/2021,Bay of Plenty
2602,Grey,Trailer,HOSKING,2006,Boat Trailer,24/03/2022,Bay of Plenty
2603,Silver,Trailer,DOMESTIC,2006,Trailer,29/12/2021,Bay of Plenty
2604,Silver,Kea,TRAILER,2006,Trailer - Heavy,29/12/2021,Tasman
2605,Silver,Trailer,BOAT,2006,Boat Trailer,1/12/2021,Waikato
2606,Yellow,Atlas,XAS136,2006,Trailer - Heavy,14/01/2022,Bay of Plenty
2607,Silver,Reid,TRAILER,2006,Trailer - Heavy,17/02/2022,Canterbury
2608,Silver,Kea,K855A,2006,Trailer,23/10/2021,Waikato
2609,Red,Mazda,AXELA,2004,Saloon,22/02/2022,Canterbury
2610,Blue,Mazda,ATENZA,2002,Saloon,1/04/2022,Wellington
2611,Black,Nissan,PULSAR,1997,Stationwagon,10/02/2022,Central
2612,White,Mazda,FAMILIA,1999,Stationwagon,1/03/2022,Central
2613,Green,Holden,COMMODORE,2013,Saloon,23/10/2021,Wellington
2614,Silver,Nissan,BLUEBIRD,2007,Saloon,30/03/2022,Counties/Manukau
2615,Black,Mazda,ATENZA,2006,Stationwagon,1/04/2022,Counties/Manukau
2616,White,Toyota,HILUX,2000,Utility,2/04/2022,Canterbury
2617,White,Nissan,TEANA,2004,Saloon,10/11/2021,Eastern
2618,Silver,Mazda,ATENZA,2006,Stationwagon,23/02/2022,Central
2619,Silver,Ford,TERRITORY,2004,Stationwagon,26/02/2022,Canterbury
2620,Silver,Nissan,NAVARA,2002,Utility,7/01/2022,Counties/Manukau
2621,White,Mazda,DEMIO,2004,Hatchback,4/11/2021,Eastern
2622,Silver,Toyota,AVENSIS,2006,Stationwagon,11/10/2021,Wellington
2623,Green,Holden,VX COMMODORE,2001,Stationwagon,22/12/2021,Waikato
2624,White,Nissan,CARAVAN,2008,Light Van,14/10/2021,Canterbury
2625,Blue,Ford,FALCON,2013,Saloon,12/11/2021,Eastern
2626,Silver,Subaru,LEGACY,2002,Saloon,28/01/2022,Wellington
2627,Black,Holden,BARINA SPARK,2013,Hatchback,28/03/2022,Counties/Manukau
2628,Black,Great Wall,V200,2013,Utility,18/02/2022,Waikato
2629,Black,Volkswagen,BEETLE,2004,Hatchback,25/12/2021,Waitemata
2630,Red,Mazda,DEMIO,2005,Stationwagon,6/11/2021,Wellington
2631,White,Ford,TRANSIT,2008,Light Van,18/01/2022,Counties/Manukau
2632,White,Honda,CIVIC,2005,Saloon,9/03/2022,Wellington
2633,White,Isuzu,NQR,2007,Cab and Chassis Only,17/01/2022,Auckland City
2634,Red,Nissan,NAVARA,2013,Utility,2/04/2022,Waikato
2635,White,Nissan,NAVARA,2003,Utility,9/11/2021,Canterbury
2636,White,Holden,COMMODORE,2013,Saloon,25/01/2022,Canterbury
2637,White,Mitsubishi,OUTLANDER,2006,Stationwagon,18/01/2022,Waikato
2638,White,Mazda,DEMIO,2006,Hatchback,26/02/2022,Wellington
2639,White,Subaru,IMPREZA,1994,Saloon,2/04/2022,Canterbury
2640,Red,Mazda,MX5,1992,Sports Car,28/01/2022,Waitemata
2641,Gold,Nissan,TIIDA,2005,Hatchback,15/11/2021,Eastern
2642,Gold,Subaru,OUTBACK,2004,Stationwagon,28/02/2022,Canterbury
2643,Silver,Mazda,ATENZA,2003,Saloon,5/03/2022,Canterbury
2644,Silver,Mazda,ATENZA,2003,Saloon,9/03/2022,Canterbury
2645,Purple,Mazda,DEMIO,2005,Stationwagon,12/03/2022,Auckland City
2646,Red,Ssangyong,ACTYON SPORT,2013,Utility,11/01/2022,Central
2647,Blue,Subaru,FORESTER,2003,Stationwagon,27/10/2021,Auckland City
2648,White,Toyota,RAV4,2008,Stationwagon,25/12/2021,Counties/Manukau
2649,Silver,Mazda,DEMIO,2002,Hatchback,27/02/2022,Wellington
2650,Red,Peugeot,208,2013,Hatchback,8/12/2021,Canterbury
2651,White,BMW,323I,2006,Saloon,23/11/2021,Auckland City
2652,Silver,Mazda,ATENZA,2005,Saloon,7/12/2021,Eastern
2653,Grey,Holden,COMMODORE,2010,Saloon,16/10/2021,Counties/Manukau
2654,Silver,Mitsubishi,COLT,2005,Stationwagon,8/01/2022,Counties/Manukau
2655,Blue,BMW,318TI,1996,Saloon,4/11/2021,Counties/Manukau
2656,Silver,Mazda,DEMIO,2004,Hatchback,5/03/2022,Waikato
2657,White,Toyota,MARKX,2006,Saloon,22/02/2022,Central
2658,Silver,Nissan,TIIDA,2006,Saloon,6/02/2022,Waikato
2659,Silver,Toyota,WISH,2005,Stationwagon,24/12/2021,Auckland City
2660,White,Nissan,TIIDA,2005,Hatchback,23/01/2022,Auckland City
2661,Silver,Ford,RANGER,2013,Utility,22/10/2021,Eastern
2662,Silver,Honda,CIVIC,2005,Saloon,12/10/2021,Wellington
2663,Red,Toyota,VITZ,2004,Hatchback,26/02/2022,Auckland City
2664,Grey,Honda,FIT,2006,Hatchback,3/04/2022,Waitemata
2665,White,Mazda,DEMIO,2004,Hatchback,29/01/2022,Auckland City
2666,Silver,Ford,KUGA,2014,Stationwagon,15/10/2021,Canterbury
2667,Orange,Renault,LUTECIA,2006,Hatchback,29/03/2022,Waikato
2668,Black,Subaru,LEGACY,2005,Saloon,7/01/2022,Counties/Manukau
2669,Black,Volkswagen,GOLF,2006,Hatchback,17/03/2022,Wellington
2670,Black,Mazda,MPV,2006,Stationwagon,9/11/2021,Eastern
2671,Grey,Mazda,ATENZA,2006,Saloon,30/01/2022,Wellington
2672,White,Mazda,ATENZA,2006,Saloon,2/03/2022,Counties/Manukau
2673,Blue,Nissan,MARCH,2004,Hatchback,3/12/2021,Auckland City
2674,Silver,Mazda,RX-8,2005,Saloon,2/04/2022,Canterbury
2675,White,Honda,ODYSSEY,2004,Stationwagon,27/02/2022,Counties/Manukau
2676,Silver,Toyota,REGIUS,2008,Light Van,10/03/2022,Counties/Manukau
2677,Silver,Honda,ACCORD,2003,Saloon,12/11/2021,Counties/Manukau
2678,Black,Nissan,NAVARA,2014,Utility,9/03/2022,Counties/Manukau
2679,Grey,Nissan,TIIDA,2004,Hatchback,22/03/2022,Auckland City
2680,Purple,Honda,AIRWAVE,2006,Stationwagon,28/02/2022,Eastern
2681,Silver,Nissan,TIIDA,2004,Hatchback,20/03/2022,Waikato
2682,Silver,Mazda,DEMIO,2004,Hatchback,24/03/2022,Wellington
2683,Silver,Mazda,DEMIO,2004,Hatchback,5/12/2021,Wellington
2684,Silver,Daihatsu,BOON,2008,Hatchback,30/01/2022,Counties/Manukau
2685,White,Toyota,PRIUS,2008,Saloon,25/12/2021,Counties/Manukau
2686,Red,Toyota,HIACE,2006,Light Van,21/03/2022,Wellington
2687,White,BMW,320I,2005,Saloon,30/12/2021,Canterbury
2688,Gold,Holden,COMMODORE,2006,Saloon,11/02/2022,Canterbury
2689,Gold,Subaru,OUTBACK,2004,Stationwagon,4/03/2022,Auckland City
2690,Green,Nissan,NAVARA,2005,Utility,8/01/2022,Wellington
2691,White,Chrysler,CHARGER R/T,1971,Saloon,23/02/2022,Waikato
2692,Silver,Toyota,ESTIMA,2005,Stationwagon,2/11/2021,Canterbury
2693,Green,Mitsubishi,L200,1999,Utility,20/02/2022,Central
2694,White,Toyota,IPSUM,2007,Stationwagon,14/03/2022,Bay of Plenty
2695,Black,Toyota,HILUX,2014,Utility,30/01/2022,Canterbury
2696,Red,Suzuki,SWIFT,2006,Hatchback,6/02/2022,Auckland City
2697,Silver,Suzuki,SWIFT,2005,Hatchback,5/02/2022,Counties/Manukau
2698,Blue,Mazda,CX-7,2007,Stationwagon,29/03/2022,Southern
2699,Black,Mazda,ATENZA,2006,Saloon,3/11/2021,Canterbury
2700,Grey,BMW,X5,2008,Stationwagon,5/01/2022,Waitemata
2701,White,Toyota,VITZ,2006,Hatchback,20/01/2022,Auckland City
2702,Green,Honda,AIRWAVE,2005,Stationwagon,25/02/2022,Auckland City
2703,White,Ford,KUGA,2014,Stationwagon,2/03/2022,Auckland City
2704,White,Toyota,HIACE,1996,Heavy Van,16/12/2021,Wellington
2705,Black,Honda,STREAM,2004,Stationwagon,15/01/2022,Central
2706,Silver,Nissan,PRESAGE,2005,Stationwagon,25/01/2022,Waikato
2707,Silver,Honda,FIT,2004,Hatchback,7/03/2022,Auckland City
2708,Silver,Toyota,HILUX,2010,Utility,6/02/2022,Bay of Plenty
2709,Red,Honda,FIT,2006,Hatchback,15/03/2022,Waikato
2710,White,Mazda,DEMIO,2006,Hatchback,1/03/2022,Wellington
2711,Silver,Mercedes-Benz,E350,2009,Saloon,28/03/2022,Auckland City
2712,White,Mitsubishi,L300,2014,Light Van,15/10/2021,Counties/Manukau
2713,Grey,Subaru,LEGACY,2011,Stationwagon,22/02/2022,Auckland City
2714,Red,Toyota,HIACE,2014,Light Van,25/01/2022,Canterbury
2715,Blue,Mazda,BT-50,2014,Utility,26/02/2022,Bay of Plenty
2716,Silver,Mercedes-Benz,GL-CLASS,2014,Stationwagon,30/01/2022,Canterbury
